production_system,group,age_group,sex,ahle_component,cause,disease,median,mean,sd,lower95,upper95,pct_of_total,exchg_rate_lcuperusdol,mean_usd,median_usd,lower95_usd,upper95_usd,sd_usd
Crop livestock mixed,Juvenile,Juvenile,Overall,Health Cost,External,Cause 1,,1077203.4878181298,24837.556073729284,1028521.8779136204,1125885.0977226393,0.0006006738108848984,29.06975,37055.822214436994,,35381.17382893284,38730.47059994115,854.4124415837523
Crop livestock mixed,Juvenile,Juvenile,Overall,Health Cost,External,Cause 2,,1077203.4878181298,24837.556073729284,1028521.8779136204,1125885.0977226393,0.0006006738108848984,29.06975,37055.822214436994,,35381.17382893284,38730.47059994115,854.4124415837523
Crop livestock mixed,Juvenile,Juvenile,Overall,Health Cost,External,Cause 3,,1077203.4878181298,24837.556073729284,1028521.8779136204,1125885.0977226393,0.0006006738108848984,29.06975,37055.822214436994,,35381.17382893284,38730.47059994115,854.4124415837523
Crop livestock mixed,Juvenile,Juvenile,Overall,Health Cost,External,Cause 4,,1077203.4878181298,24837.556073729284,1028521.8779136204,1125885.0977226393,0.0006006738108848984,29.06975,37055.822214436994,,35381.17382893284,38730.47059994115,854.4124415837523
Crop livestock mixed,Juvenile,Juvenile,Overall,Health Cost,External,Cause 5,,1077203.4878181298,24837.556073729284,1028521.8779136204,1125885.0977226393,0.0006006738108848984,29.06975,37055.822214436994,,35381.17382893284,38730.47059994115,854.4124415837523
Crop livestock mixed,Neonate,Neonatal,Overall,Health Cost,External,Cause 1,,1389249.4948485154,39657.05213190163,1311521.6726699881,1466977.3170270426,0.0007746779487604748,29.06975,47790.21129691571,,45116.37260967116,50464.04998416026,1364.2034118594634
Crop livestock mixed,Neonate,Neonatal,Overall,Health Cost,External,Cause 2,,1389249.4948485154,39657.05213190163,1311521.6726699881,1466977.3170270426,0.0007746779487604748,29.06975,47790.21129691571,,45116.37260967116,50464.04998416026,1364.2034118594634
Crop livestock mixed,Neonate,Neonatal,Overall,Health Cost,External,Cause 3,,1389249.4948485154,39657.05213190163,1311521.6726699881,1466977.3170270426,0.0007746779487604748,29.06975,47790.21129691571,,45116.37260967116,50464.04998416026,1364.2034118594634
Crop livestock mixed,Neonate,Neonatal,Overall,Health Cost,External,Cause 4,,1389249.4948485154,39657.05213190163,1311521.6726699881,1466977.3170270426,0.0007746779487604748,29.06975,47790.21129691571,,45116.37260967116,50464.04998416026,1364.2034118594634
Crop livestock mixed,Neonate,Neonatal,Overall,Health Cost,External,Cause 5,,1389249.4948485154,39657.05213190163,1311521.6726699881,1466977.3170270426,0.0007746779487604748,29.06975,47790.21129691571,,45116.37260967116,50464.04998416026,1364.2034118594634
Pastoral,Adult female,Adult,Female,Health Cost,External,Cause 1,,4274820.691277973,106362.14553020045,4066350.8860387807,4483290.4965171665,0.0023837398082330453,29.06975,147053.9200123143,,139882.5544092667,154225.2856153619,3658.8600015548964
Pastoral,Adult female,Adult,Female,Health Cost,External,Cause 2,,4274820.691277973,106362.14553020045,4066350.8860387807,4483290.4965171665,0.0023837398082330453,29.06975,147053.9200123143,,139882.5544092667,154225.2856153619,3658.8600015548964
Pastoral,Adult female,Adult,Female,Health Cost,External,Cause 3,,4274820.691277973,106362.14553020045,4066350.8860387807,4483290.4965171665,0.0023837398082330453,29.06975,147053.9200123143,,139882.5544092667,154225.2856153619,3658.8600015548964
Pastoral,Adult female,Adult,Female,Health Cost,External,Cause 4,,4274820.691277973,106362.14553020045,4066350.8860387807,4483290.4965171665,0.0023837398082330453,29.06975,147053.9200123143,,139882.5544092667,154225.2856153619,3658.8600015548964
Pastoral,Adult female,Adult,Female,Health Cost,External,Cause 5,,4274820.691277973,106362.14553020045,4066350.8860387807,4483290.4965171665,0.0023837398082330453,29.06975,147053.9200123143,,139882.5544092667,154225.2856153619,3658.8600015548964
