iso3,year,incomegroup,flag
SMR,2005,H,
STP,2005,L,
SAU,2005,H,
SEN,2005,L,
SRB,2005,..,
SYC,2005,UM,
SLE,2005,L,
SGP,2005,H,
SXM,2005,..,
SVK,2005,UM,
SVN,2005,H,
SLB,2005,L,
SOM,2005,L,
ZAF,2005,UM,
SSD,2005,..,
ESP,2005,H,
LKA,2005,LM,
KNA,2005,UM,
LCA,2005,UM,
MAF,2005,..,
VCT,2005,UM,
SDN,2005,L,
SUR,2005,LM,
SWE,2005,H,
CHE,2005,H,
SYR,2005,LM,
TWN,2005,H,
TJK,2005,L,
TZA,2005,L,
THA,2005,LM,
TLS,2005,L,
TGO,2005,L,
TON,2005,LM,
TTO,2005,UM,
TUN,2005,LM,
TUR,2005,UM,
TKM,2005,LM,
TCA,2005,..,
TUV,2005,..,
UGA,2005,L,
UKR,2005,LM,
ARE,2005,H,
GBR,2005,H,
USA,2005,H,
URY,2005,UM,
UZB,2005,L,
VUT,2005,LM,
VEN,2005,UM,
VNM,2005,L,
VIR,2005,H,
PSE,2005,LM,
YEM,2005,L,
ZMB,2005,L,
ZWE,2005,L,
AFG,2006,L,
ALB,2006,LM,
DZA,2006,LM,
ASM,2006,UM,
AND,2006,H,
AGO,2006,LM,
ATG,2006,H,
ARG,2006,UM,
ARM,2006,LM,
ABW,2006,H,
AUS,2006,H,
AUT,2006,H,
AZE,2006,LM,
BHS,2006,H,
BHR,2006,H,
BGD,2006,L,
BRB,2006,H,
BLR,2006,LM,
BEL,2006,H,
BLZ,2006,UM,
BEN,2006,L,
BMU,2006,H,
BTN,2006,LM,
BOL,2006,LM,
BIH,2006,LM,
BWA,2006,UM,
BRA,2006,UM,
VGB,2006,..,
BRN,2006,H,
